"satisfaction_level","last_evaluation","number_project","average_monthly_hours","time_spend_company","work_accident","left","promotion_last_5years","department","salary"
0.85,0.97,3,256,38,0,0,0,"support","low"
0.62,0.88,2,263,59,0,0,0,"support","medium"
0.63,0.61,3,234,41,1,0,0,"technical","medium"
0.84,0.97,6,223,19,0,0,0,"technical","medium"
0.71,0.69,2,172,37,0,0,0,"technical","medium"
0.36,0.55,6,226,67,0,0,0,"management","medium"
0.79,0.56,6,205,43,1,0,0,"IT","medium"
0.59,0.55,4,235,17,0,0,0,"IT","medium"
0.5,0.53,4,263,33,0,0,0,"IT","medium"
0.88,0.66,4,271,48,1,0,0,"IT","medium"
0.65,0.69,6,131,60,0,0,0,"IT","medium"
0.71,0.56,4,238,47,0,0,0,"product_mng","medium"
0.89,0.54,3,214,19,0,0,0,"product_mng","medium"
0.83,0.84,3,267,31,0,0,0,"product_mng","high"
0.73,0.53,3,184,26,0,0,0,"product_mng","low"
0.71,0.67,3,264,40,0,0,0,"IT","medium"
0.53,0.66,3,109,26,0,0,0,"RandD","medium"
0.74,0.7,3,253,41,1,0,0,"RandD","medium"
0.6,0.52,4,207,27,1,0,0,"RandD","medium"
0.47,0.6,4,263,51,0,0,0,"RandD","low"
0.88,0.88,3,214,29,1,0,0,"RandD","low"
0.62,0.67,2,153,31,0,0,0,"marketing","low"
0.24,0.48,5,123,61,1,0,0,"sales","low"
0.15,0.36,5,159,28,0,0,0,"accounting","low"
0.92,0.82,3,185,41,0,0,0,"support","low"
0.74,0.7,4,167,38,1,0,0,"technical","low"
0.86,0.77,3,271,37,0,0,0,"management","low"
0.96,0.61,3,140,35,0,0,0,"marketing","low"
0.54,0.6,4,141,31,0,0,0,"marketing","low"
0.99,0.87,4,190,21,0,0,0,"marketing","low"
0.72,0.73,5,134,28,0,0,0,"sales","low"
0.96,0.75,5,176,44,0,0,0,"sales","low"
0.73,0.73,4,194,21,0,0,0,"sales","low"
0.67,0.44,5,212,46,0,0,0,"sales","low"
0.58,0.72,5,234,37,1,0,0,"sales","low"
0.9,0.99,4,190,30,0,0,0,"sales","low"
0.99,0.37,5,155,39,0,0,0,"sales","low"
0.89,0.58,4,232,27,0,0,0,"sales","low"
0.72,0.95,4,216,33,0,0,0,"sales","low"
0.77,0.8,3,207,45,0,0,0,"sales","low"
0.8,0.94,4,200,51,0,0,0,"sales","medium"
0.89,0.86,3,178,47,0,0,0,"sales","medium"
0.59,0.81,4,173,21,0,0,0,"sales","medium"
0.24,0.87,5,268,63,0,0,0,"sales","medium"
0.94,0.59,6,212,29,0,0,0,"sales","medium"
0.74,0.5,4,216,30,0,0,0,"sales","medium"
0.63,0.62,5,212,72,0,0,0,"sales","medium"
0.63,0.59,3,155,41,1,0,0,"sales","medium"
0.77,0.65,4,164,14,0,0,0,"sales","medium"
0.87,0.74,3,209,39,0,0,0,"accounting","medium"
0.79,0.61,4,136,39,0,0,0,"accounting","medium"
0.54,0.84,4,223,41,0,0,0,"accounting","medium"
0.59,0.83,4,239,49,0,0,0,"hr","high"
0.86,0.87,3,205,51,0,0,0,"hr","low"
0.98,0.68,3,203,32,0,0,0,"hr","medium"
1,0.79,5,152,50,0,0,0,"hr","medium"
0.9,0.79,4,236,34,1,0,0,"technical","medium"
0.34,0.6,4,114,41,0,0,0,"technical","medium"
0.95,0.93,3,209,27,0,0,0,"technical","low"
0.79,0.48,4,178,27,0,0,0,"technical","low"
0.13,0.91,4,175,62,0,0,0,"technical","low"
0.72,0.69,3,270,53,0,0,0,"technical","low"
0.63,0.54,3,145,24,1,0,0,"technical","low"
0.81,0.76,5,134,24,0,0,0,"technical","low"
0.71,0.75,4,272,47,0,0,0,"technical","low"
0.49,0.76,3,208,17,0,0,0,"technical","low"
0.59,0.65,4,219,41,1,0,0,"technical","low"
0.87,0.59,5,154,40,0,0,0,"support","low"
0.66,0.6,3,179,38,0,0,0,"support","low"
0.78,0.92,5,137,31,0,0,0,"support","low"
0.65,0.7,4,211,28,0,0,0,"support","low"
0.8,0.97,5,271,49,0,0,0,"support","low"
0.56,0.75,4,192,36,0,0,0,"support","low"
0.85,0.67,4,228,49,0,0,0,"support","low"
0.14,0.46,2,267,68,1,0,0,"support","low"
0.74,0.62,4,272,29,0,0,0,"support","low"
0.86,0.93,2,260,21,0,0,0,"support","low"
0.71,0.96,4,161,39,0,0,0,"support","low"
0.83,0.99,4,226,26,0,0,0,"technical","low"
0.52,0.49,4,249,47,1,0,0,"technical","medium"
0.63,0.8,3,243,35,0,0,0,"technical","medium"
0.92,0.93,4,247,28,0,0,0,"management","medium"
0.66,0.87,3,186,28,0,0,0,"IT","medium"
0.77,0.7,3,155,34,0,0,0,"IT","medium"
0.74,0.97,2,135,46,0,0,0,"IT","medium"
0.81,0.76,5,198,58,0,0,0,"IT","medium"
0.67,0.55,3,175,26,0,0,0,"IT","medium"
0.75,0.92,3,192,33,0,0,0,"product_mng","medium"
0.65,0.36,2,282,42,0,0,0,"product_mng","medium"
0.81,0.6,4,179,37,0,0,0,"product_mng","medium"
0.57,0.77,4,245,35,0,0,0,"product_mng","medium"
0.89,0.66,4,235,30,0,0,0,"IT","high"
0.5,0.56,4,266,33,0,0,0,"RandD","low"
0.21,0.42,4,269,49,1,0,0,"RandD","medium"
0.79,0.67,3,264,21,0,0,0,"RandD","medium"
0.66,0.57,3,161,22,1,0,0,"RandD","medium"
0.82,0.95,3,203,33,0,0,0,"RandD","medium"
0.85,0.85,4,258,24,0,0,0,"marketing","low"
0.72,0.96,3,143,36,0,0,0,"sales","low"
0.52,0.92,3,214,31,0,0,0,"accounting","low"
0.5,0.62,4,166,46,1,0,0,"support","low"
0.52,0.82,3,192,33,0,0,0,"technical","low"
0.13,0.87,3,185,49,1,0,0,"management","low"
0.87,0.98,4,173,35,0,0,0,"marketing","low"
0.53,0.98,2,163,35,0,0,0,"marketing","low"
0.15,0.76,5,277,51,0,0,0,"marketing","low"
0.64,0.86,5,274,22,1,0,0,"sales","low"
0.52,0.44,3,119,20,0,0,0,"sales","low"
0.79,0.67,4,267,38,0,0,0,"sales","low"
0.74,0.89,3,160,18,0,0,0,"sales","low"
0.81,0.84,4,198,26,0,0,0,"sales","low"
0.94,0.6,3,193,36,0,0,0,"sales","low"
0.67,0.84,6,250,22,0,0,0,"sales","low"
0.93,0.84,3,237,47,1,0,0,"sales","low"
0.52,0.96,4,170,27,0,0,0,"sales","low"
0.48,0.74,2,157,31,1,0,0,"sales","medium"
0.57,0.92,6,267,44,0,0,0,"sales","medium"
0.71,0.77,4,192,51,0,0,0,"sales","medium"
0.9,0.74,4,218,18,1,0,0,"sales","medium"
0.58,0.61,4,210,32,0,0,0,"sales","medium"
0.66,0.48,4,229,43,0,0,0,"sales","medium"
0.59,0.66,3,186,34,0,0,0,"sales","medium"
0.96,0.5,3,234,20,1,0,0,"sales","medium"
0.13,0.91,2,149,58,0,0,0,"sales","medium"
0.93,0.92,3,205,34,0,0,0,"sales","medium"
0.54,0.72,3,148,51,0,0,0,"accounting","medium"
0.54,0.77,5,270,33,0,0,0,"accounting","medium"
0.87,0.62,3,176,39,0,0,0,"accounting","high"
0.79,0.91,3,226,20,0,0,0,"hr","low"
0.83,0.57,3,232,48,0,0,0,"hr","medium"
0.73,0.6,3,137,42,0,0,0,"hr","medium"
0.29,0.42,6,253,39,0,0,0,"hr","medium"
0.8,0.7,6,231,39,0,0,0,"technical","medium"
0.29,0.81,3,189,67,0,0,0,"technical","low"
0.43,0.85,6,168,31,0,0,0,"technical","low"
0.99,0.93,3,261,42,0,0,0,"technical","low"
0.86,0.51,4,152,42,0,0,0,"technical","low"
0.85,0.78,5,263,26,1,0,0,"technical","low"
0.66,0.68,3,258,30,0,0,0,"technical","low"
0.57,0.99,3,205,41,0,0,0,"technical","low"
0.31,0.64,6,183,23,1,0,0,"technical","low"
0.88,0.88,3,153,32,0,0,0,"technical","low"
0.72,0.72,5,194,50,0,0,0,"technical","low"
0.75,0.66,4,202,27,0,0,0,"support","low"
0.82,0.71,4,164,46,0,0,0,"support","low"
0.82,0.67,3,213,30,0,0,0,"support","low"
0.15,0.52,4,265,63,0,0,0,"support","low"
0.16,0.88,6,218,31,0,0,0,"support","low"
0.95,0.4,5,286,48,0,0,0,"support","low"
0.87,0.73,3,172,36,1,0,0,"support","low"
0.85,0.89,4,251,27,0,0,0,"support","low"
0.58,0.6,3,110,35,1,0,0,"support","low"
0.63,0.86,3,269,50,0,0,0,"support","low"
0.69,0.68,3,151,29,1,0,0,"support","low"
0.53,0.85,5,161,25,0,0,0,"technical","medium"
0.96,0.71,4,210,35,0,0,0,"technical","medium"
0.73,0.83,2,167,39,0,0,0,"technical","medium"
0.5,0.6,3,270,38,1,0,0,"management","medium"
0.81,0.83,3,133,37,1,0,0,"IT","medium"
0.82,0.59,3,249,29,0,0,0,"IT","medium"
0.76,0.72,4,266,34,0,0,0,"IT","medium"
0.27,0.82,4,276,18,0,0,0,"IT","medium"
0.64,0.38,6,215,37,0,0,0,"IT","medium"
0.57,0.9,3,262,27,0,0,0,"product_mng","medium"
0.49,0.84,5,193,36,0,0,0,"product_mng","medium"
0.66,0.92,2,102,61,0,0,0,"product_mng","medium"
0.71,0.36,4,278,52,1,0,0,"product_mng","high"
0.61,0.63,3,250,48,0,0,0,"IT","low"
0.52,0.89,5,193,49,0,0,0,"RandD","medium"
0.62,0.91,3,133,44,0,0,0,"RandD","medium"
0.98,0.65,4,216,45,0,0,0,"RandD","medium"
0.67,0.56,5,174,24,1,0,0,"RandD","medium"
0.85,0.62,2,280,37,0,0,0,"RandD","low"
0.84,0.85,4,246,26,0,0,0,"marketing","low"
1,0.53,3,142,26,0,0,0,"sales","low"
0.72,0.76,4,144,39,1,0,0,"accounting","low"
0.66,0.75,6,100,40,1,0,0,"support","low"
0.64,0.71,5,212,22,0,0,0,"technical","low"
1,0.76,5,201,47,0,0,0,"management","low"
0.75,0.59,5,206,22,0,0,0,"marketing","low"
0.81,0.77,4,197,38,0,0,0,"marketing","low"
0.31,0.98,5,232,63,0,0,0,"marketing","low"
0.32,0.97,6,272,24,0,0,0,"sales","low"
0.48,0.5,4,173,38,0,0,0,"sales","low"
0.62,0.42,2,124,27,0,0,0,"sales","low"
0.77,0.86,5,282,55,0,0,0,"sales","low"
0.76,0.8,2,219,53,1,0,0,"sales","low"
0.68,0.41,3,106,74,0,0,0,"sales","low"
0.72,0.79,4,192,50,0,0,0,"sales","low"
0.87,0.91,5,190,14,0,0,0,"sales","low"
0.59,0.57,2,156,27,0,0,0,"sales","low"
0.7,0.64,3,180,26,0,0,0,"sales","low"
0.73,0.81,4,245,26,0,0,0,"sales","low"
0.58,0.62,3,169,28,0,0,0,"sales","medium"
0.64,0.66,3,188,43,0,0,0,"sales","medium"
0.89,0.66,5,224,24,0,0,0,"sales","medium"
0.95,0.71,3,263,29,1,0,0,"sales","medium"
0.84,0.9,3,262,28,0,0,0,"sales","medium"
0.6,0.99,4,225,35,0,0,0,"sales","medium"
0.71,0.63,5,224,40,1,0,0,"sales","medium"
0.6,0.95,3,266,39,0,0,0,"sales","medium"
0.91,0.68,3,218,38,1,0,0,"accounting","medium"
0.75,1,3,102,35,0,0,0,"accounting","medium"
0.7,0.67,4,181,31,0,0,0,"accounting","medium"
0.23,0.64,5,150,51,0,0,0,"hr","medium"
0.73,0.83,4,270,25,0,0,0,"hr","high"
0.99,0.49,4,270,24,0,0,0,"hr","low"
0.62,0.68,5,265,32,0,0,0,"hr","medium"
0.98,0.89,4,169,35,0,0,0,"technical","medium"
0.61,0.94,3,224,45,0,0,0,"technical","medium"
0.52,0.92,3,150,33,1,0,0,"technical","medium"
0.65,0.66,5,239,50,0,0,0,"technical","low"
0.59,0.9,3,245,33,1,0,0,"technical","low"
0.71,0.8,3,182,19,1,0,0,"technical","low"
0.18,0.7,5,182,48,0,0,0,"technical","low"
0.21,0.93,4,243,49,0,0,0,"technical","low"
0.15,0.67,6,209,59,0,0,0,"technical","low"
0.97,0.53,4,195,44,0,0,0,"technical","low"
0.39,0.48,3,190,21,0,0,0,"technical","low"
0.35,0.66,2,140,25,0,0,0,"support","medium"
0.88,0.58,4,147,56,0,0,0,"support","medium"
0.58,0.97,3,265,36,0,0,0,"support","medium"
0.61,0.78,3,238,20,0,0,0,"support","medium"
0.59,0.98,3,155,44,0,0,0,"support","medium"
0.55,0.41,4,132,60,1,0,0,"support","medium"
0.52,0.8,5,257,34,0,0,0,"support","medium"
0.71,0.77,2,255,42,0,0,0,"support","medium"
0.63,0.82,5,229,27,0,0,0,"support","medium"
0.17,0.84,5,216,51,0,0,0,"support","medium"
0.95,0.49,4,269,40,0,0,0,"support","medium"
1,0.73,3,205,16,0,0,0,"technical","medium"
0.73,0.96,2,151,53,0,0,0,"technical","medium"
0.8,0.64,4,246,37,1,0,0,"technical","medium"
0.63,0.8,4,256,50,0,0,0,"management","medium"
0.95,0.59,4,235,30,0,0,0,"IT","medium"
0.75,0.83,4,229,22,0,0,0,"IT","medium"
0.64,0.72,5,158,28,0,0,0,"IT","medium"
0.72,1,3,197,38,0,0,0,"IT","medium"
0.72,0.53,3,151,46,0,0,0,"IT","medium"
0.85,0.63,3,167,36,0,0,0,"product_mng","medium"
0.24,0.94,4,146,52,0,0,0,"product_mng","medium"
0.69,0.53,4,281,43,0,0,0,"product_mng","medium"
0.69,0.7,3,212,26,0,0,0,"product_mng","medium"
0.87,0.59,5,261,27,0,0,0,"IT","medium"
0.78,0.91,3,238,24,0,0,0,"RandD","high"
0.76,0.74,4,235,38,0,0,0,"RandD","high"
0.35,0.7,3,107,40,0,0,0,"RandD","high"
0.88,0.59,6,243,52,0,0,0,"RandD","high"
0.78,0.79,5,233,45,1,0,0,"RandD","high"
0.36,0.42,3,206,55,0,0,0,"marketing","high"
0.24,0.7,5,172,42,0,0,0,"sales","high"
0.55,0.82,3,248,18,0,0,0,"accounting","high"
0.91,0.53,3,147,57,1,0,0,"support","high"
0.66,0.61,5,259,42,0,0,0,"technical","high"
0.57,0.82,3,267,45,0,0,0,"management","high"
0.64,0.64,3,263,30,0,0,0,"marketing","high"
0.63,0.98,3,160,48,1,0,0,"marketing","low"
0.49,0.92,5,176,41,0,0,0,"marketing","low"
0.7,0.7,3,224,41,0,0,0,"sales","low"
0.3,0.71,3,155,19,0,0,0,"sales","low"
0.51,0.52,3,132,31,0,0,0,"sales","low"
0.71,0.87,5,173,40,0,0,0,"sales","low"
0.64,0.67,3,165,43,0,0,0,"sales","low"
0.67,0.66,6,272,34,0,0,0,"sales","low"
0.83,0.94,5,156,40,1,0,0,"sales","low"
0.92,0.96,3,154,19,1,0,0,"sales","low"
0.84,0.53,3,237,34,1,0,0,"sales","low"
0.97,0.75,2,271,70,0,0,0,"sales","low"
0.19,0.91,6,152,35,0,0,0,"sales","low"
0.86,0.51,4,152,33,1,0,0,"sales","low"
0.71,0.69,3,172,38,0,0,0,"sales","low"
0.76,0.56,4,214,20,1,0,0,"sales","medium"
0.68,0.88,5,201,31,0,0,0,"sales","medium"
0.61,0.99,2,275,37,1,0,0,"sales","medium"
0.85,0.79,3,156,31,0,0,0,"sales","medium"
0.84,0.89,3,234,21,0,0,0,"sales","medium"
0.62,0.63,2,123,14,0,0,0,"sales","medium"
0.77,0.76,3,201,50,0,0,0,"accounting","medium"
0.79,0.93,5,160,53,1,0,0,"accounting","medium"
0.97,0.5,3,173,36,0,0,0,"accounting","medium"
0.59,0.61,4,141,31,1,0,0,"hr","medium"
0.93,0.62,3,231,73,0,0,0,"hr","medium"
0.85,0.54,4,174,27,0,0,0,"hr","medium"
0.7,0.57,4,211,36,0,0,0,"hr","high"
0.54,0.91,3,249,34,0,0,0,"technical","high"
0.42,0.86,2,108,64,0,0,0,"technical","high"
0.96,0.75,4,165,36,0,0,0,"technical","high"
0.58,0.8,3,181,55,0,0,0,"technical","high"
0.61,0.59,3,237,25,0,0,0,"technical","high"
0.62,0.97,5,180,22,0,0,0,"technical","high"
0.68,0.7,3,209,37,0,0,0,"technical","high"
0.6,0.73,3,191,55,1,0,0,"technical","low"
0.7,0.91,4,181,23,1,0,0,"technical","low"
0.65,0.55,4,250,20,0,0,0,"technical","low"
0.48,0.59,2,179,26,0,0,0,"technical","low"
0.75,0.73,3,225,42,0,0,0,"support","low"
0.69,0.78,5,267,19,1,0,0,"support","low"
0.34,0.46,2,169,18,1,0,0,"support","low"
0.59,0.49,4,164,45,0,0,0,"support","low"
0.94,0.95,4,155,40,0,0,0,"support","medium"
0.98,0.77,5,223,22,1,0,0,"support","medium"
0.72,0.66,3,160,30,0,0,0,"support","medium"
0.79,0.7,4,268,17,0,0,0,"support","medium"
0.54,0.61,4,151,49,1,0,0,"support","medium"
0.73,0.95,3,156,12,0,0,0,"support","medium"
0.82,0.58,4,136,35,0,0,0,"support","medium"
0.57,0.45,3,189,23,0,0,0,"technical","medium"
0.98,0.93,5,203,23,0,0,0,"technical","medium"
0.91,0.65,5,174,21,0,0,0,"technical","medium"
0.72,0.91,3,239,25,0,0,0,"management","medium"
0.48,0.73,5,152,73,0,0,0,"IT","medium"
0.57,0.86,4,268,70,0,0,0,"IT","medium"
0.86,0.96,4,146,27,0,0,0,"IT","medium"
0.63,0.85,3,232,45,0,0,0,"IT","medium"
0.81,0.52,3,255,54,0,0,0,"IT","medium"
0.21,0.37,4,129,54,0,0,0,"product_mng","medium"
0.9,0.66,3,261,40,1,0,0,"product_mng","medium"
0.79,0.78,3,101,20,1,0,0,"product_mng","medium"
0.95,0.49,4,229,33,0,0,0,"product_mng","medium"
0.29,0.43,3,162,46,0,0,0,"IT","medium"
0.81,0.52,4,270,39,0,0,0,"RandD","medium"
0.21,0.56,6,277,68,0,0,0,"RandD","medium"
0.7,0.83,5,261,55,0,0,0,"RandD","high"
0.66,0.64,4,204,37,0,0,0,"RandD","low"
0.16,0.86,2,215,22,0,0,0,"RandD","medium"
0.72,0.8,3,219,32,0,0,0,"marketing","medium"
0.51,0.5,3,147,45,0,0,0,"sales","medium"
0.59,0.63,5,243,22,0,0,0,"accounting","medium"
0.66,0.4,2,155,57,1,0,0,"support","medium"
0.69,0.84,3,253,36,0,0,0,"technical","medium"
0.69,0.94,4,235,34,0,0,0,"management","medium"
0.89,0.79,5,257,35,0,0,0,"marketing","medium"
0.52,0.56,4,225,28,0,0,0,"marketing","medium"
0.91,0.91,3,167,42,0,0,0,"marketing","medium"
0.96,0.53,5,224,46,0,0,0,"sales","low"
0.8,0.58,5,127,35,0,0,0,"sales","low"
0.55,0.77,3,256,26,1,0,0,"sales","low"
0.93,0.63,4,233,25,0,0,0,"sales","low"
0.93,0.86,4,169,48,0,0,0,"sales","low"
0.54,0.48,3,152,28,0,0,0,"sales","low"
0.48,0.76,5,236,27,0,0,0,"sales","low"
0.19,0.99,3,154,25,0,0,0,"sales","high"
0.95,0.71,3,223,23,0,0,0,"sales","low"
0.96,0.81,4,211,31,0,0,0,"sales","high"
0.63,0.89,4,192,30,0,0,0,"sales","high"
0.81,0.8,4,227,27,1,0,0,"sales","low"
0.5,0.88,4,265,40,1,0,0,"sales","low"
0.76,0.72,5,228,28,0,0,0,"sales","high"
0.84,0.49,4,152,33,0,0,0,"sales","low"
0.2,0.95,5,169,54,0,0,0,"sales","medium"
0.78,0.92,3,169,33,0,0,0,"sales","high"
0.8,0.68,4,157,37,0,0,0,"sales","medium"
0.94,0.57,4,251,19,1,0,0,"sales","medium"
0.44,0.74,5,253,25,0,0,0,"accounting","medium"
0.92,0.85,3,155,17,0,0,0,"accounting","medium"
0.54,0.8,3,232,15,0,0,0,"accounting","high"
0.56,0.56,4,195,20,0,0,0,"hr","medium"
0.66,0.69,4,198,38,1,0,0,"hr","medium"
0.8,0.91,3,246,36,0,0,0,"hr","medium"
0.6,0.81,2,214,29,0,0,0,"hr","high"
0.73,0.73,5,249,33,0,0,0,"technical","medium"
0.55,0.74,3,211,28,1,0,0,"technical","high"
0.7,0.71,5,269,33,0,0,0,"technical","low"
0.53,0.68,4,214,35,0,0,0,"technical","medium"
0.9,0.94,4,231,39,0,0,0,"technical","medium"
0.8,0.78,3,175,38,0,0,0,"technical","medium"
0.51,0.6,5,175,34,0,0,0,"technical","medium"
0.86,0.96,5,238,56,0,0,0,"technical","low"
0.63,0.79,4,228,47,0,0,0,"technical","low"
0.83,0.93,3,220,55,0,0,0,"technical","low"
0.85,0.55,4,233,20,1,0,0,"technical","low"
0.8,0.57,3,225,57,0,0,0,"support","low"
0.79,0.97,5,187,30,0,0,0,"support","low"
0.37,0.71,3,117,43,0,0,0,"support","low"
0.85,0.9,3,184,47,1,0,0,"support","low"
0.76,0.56,3,216,30,0,0,0,"support","low"
0.99,0.62,4,140,20,1,0,0,"support","low"
0.55,0.63,3,201,29,1,0,0,"support","high"
0.69,0.69,4,167,27,1,0,0,"support","low"
0.68,1,5,203,27,0,0,0,"support","low"
0.69,0.9,5,231,17,1,0,0,"support","low"
0.65,0.7,3,141,59,0,0,0,"support","low"
0.17,0.88,6,226,44,1,0,0,"technical","high"
0.48,0.65,3,199,22,0,0,0,"technical","low"
0.65,0.59,4,192,31,0,0,0,"technical","low"
0.57,0.49,4,247,30,0,0,0,"management","low"
0.8,0.67,3,164,37,0,0,0,"IT","high"
0.8,0.6,5,234,26,0,0,0,"IT","low"
0.5,0.6,2,177,38,1,0,0,"IT","medium"
0.95,0.87,3,208,22,0,0,0,"IT","high"
0.69,0.93,3,233,35,0,0,0,"IT","medium"
0.74,0.57,4,172,41,0,0,0,"product_mng","high"
0.68,0.59,3,141,38,0,0,0,"product_mng","medium"
0.68,0.55,3,213,39,0,0,0,"product_mng","medium"
0.65,0.37,5,128,34,1,0,0,"product_mng","medium"
0.85,0.92,4,151,31,1,0,0,"IT","medium"
0.49,0.48,4,247,34,0,0,0,"RandD","medium"
0.19,0.8,6,143,49,0,0,0,"RandD","medium"
0.95,0.61,3,164,36,0,0,0,"RandD","medium"
0.63,0.62,3,183,34,0,0,0,"RandD","medium"
0.83,0.8,4,274,36,0,0,0,"RandD","high"
0.62,0.78,4,261,25,0,0,0,"marketing","low"
0.74,0.98,5,200,38,0,0,0,"sales","medium"
0.7,0.87,5,177,34,0,0,0,"accounting","medium"
0.28,0.38,5,139,50,0,0,0,"support","medium"
0.39,0.56,6,228,65,0,0,0,"technical","medium"
0.62,0.63,3,230,23,0,0,0,"management","medium"
0.79,0.54,5,212,55,0,0,0,"marketing","medium"
0.87,0.74,4,265,45,0,0,0,"marketing","medium"
0.29,0.75,3,124,55,0,0,0,"marketing","medium"
0.37,0.88,4,155,41,0,0,0,"sales","medium"
0.68,0.55,4,215,50,0,0,0,"sales","high"
0.9,0.51,4,214,21,0,0,0,"sales","low"
0.97,0.65,3,181,41,0,0,0,"sales","low"
0.6,0.77,4,229,26,0,0,0,"sales","low"
0.58,0.79,5,262,22,0,0,0,"sales","high"
0.83,0.86,3,165,34,0,0,0,"sales","low"
0.83,0.73,5,136,37,0,0,0,"sales","low"
0.94,0.71,4,151,27,1,0,0,"sales","low"
0.69,0.9,5,226,54,0,0,0,"sales","high"
0.81,0.81,5,215,17,0,0,0,"sales","low"
0.19,0.5,6,143,63,1,0,0,"sales","low"
0.18,0.64,3,223,49,1,0,0,"sales","low"
0.58,0.63,4,271,43,0,0,0,"sales","low"
0.76,0.65,3,220,37,0,0,0,"sales","low"
0.26,0.47,6,182,55,0,0,0,"sales","low"
0.78,0.87,3,190,34,0,0,0,"sales","low"
0.71,0.56,3,198,38,0,0,0,"sales","medium"
0.76,0.61,3,141,28,0,0,0,"sales","medium"
0.44,0.81,3,248,18,0,0,0,"accounting","medium"
0.26,0.69,2,168,59,0,0,0,"accounting","medium"
0.75,0.57,5,162,38,0,0,0,"accounting","medium"
0.64,0.9,4,211,43,0,0,0,"hr","medium"
0.79,0.71,4,271,34,0,0,0,"hr","medium"
0.96,0.61,3,271,27,0,0,0,"hr","medium"
0.63,1,5,244,19,0,0,0,"hr","medium"
0.65,0.55,5,261,39,1,0,0,"technical","medium"
0.76,0.81,3,225,36,0,0,0,"technical","medium"
0.26,0.9,4,266,63,0,0,0,"technical","medium"
0.84,0.73,3,146,60,1,0,0,"technical","high"
0.74,0.77,3,233,25,0,0,0,"technical","low"
0.53,0.45,4,180,33,0,0,0,"technical","medium"
0.7,0.56,5,208,37,0,0,0,"technical","medium"
0.62,0.69,4,165,49,1,0,0,"technical","medium"
0.71,0.68,4,221,49,0,0,0,"technical","medium"
0.5,0.65,3,215,35,0,0,0,"technical","low"
0.53,0.5,6,264,72,0,0,0,"technical","low"
0.88,0.89,2,160,50,0,0,0,"support","low"
0.79,0.83,2,192,42,0,0,0,"support","low"
0.69,0.89,5,201,23,0,0,0,"support","low"
0.57,0.96,4,264,26,0,0,0,"support","low"
0.68,0.8,4,186,43,1,0,0,"support","low"
0.6,0.82,4,272,40,0,0,0,"support","low"
0.7,0.9,4,216,41,0,0,0,"support","low"
0.71,0.76,4,142,30,1,0,0,"support","low"
0.49,0.51,4,133,39,0,0,0,"support","low"
0.74,0.7,4,260,25,0,0,0,"support","low"
0.2,0.93,4,101,59,0,0,0,"support","low"
0.57,0.5,4,230,21,0,0,0,"technical","low"
0.83,0.48,3,242,44,0,0,0,"technical","low"
0.22,0.64,3,193,25,0,0,0,"technical","low"
0.67,0.57,2,234,50,0,0,0,"management","low"
0.54,0.84,3,132,35,0,0,0,"IT","low"
0.54,0.53,4,183,40,0,0,0,"IT","low"
0.64,0.61,4,191,43,0,0,0,"IT","low"
0.23,0.84,5,140,51,0,0,0,"IT","low"
0.88,0.87,5,257,38,0,0,0,"IT","medium"
0.83,0.54,4,219,37,0,0,0,"product_mng","medium"
0.88,0.67,5,141,21,0,0,0,"product_mng","medium"
0.9,0.85,5,162,12,0,0,0,"product_mng","medium"
0.49,0.61,3,181,34,0,0,0,"product_mng","medium"
0.55,0.49,3,191,26,0,0,0,"IT","medium"
0.92,0.69,4,149,73,1,0,0,"RandD","medium"
0.72,0.67,3,164,53,0,0,0,"RandD","medium"
0.63,0.5,4,235,36,0,0,0,"RandD","medium"
0.98,0.66,3,199,37,0,0,0,"RandD","medium"
0.76,0.52,3,248,19,0,0,0,"RandD","medium"
0.42,0.56,2,103,31,1,0,0,"marketing","medium"
0.58,0.65,4,248,49,0,0,0,"marketing","high"
0.85,0.82,3,153,35,1,0,0,"sales","low"
0.67,0.95,4,241,56,0,0,0,"accounting","medium"
0.58,1,4,258,45,0,0,0,"support","medium"
0.84,0.76,5,172,59,1,0,0,"technical","medium"
0.56,0.68,3,149,33,0,0,0,"management","medium"
0.63,0.83,4,217,29,0,0,0,"marketing","low"
0.51,0.92,3,243,43,0,0,0,"marketing","low"
0.95,0.81,5,120,39,0,0,0,"marketing","low"
0.85,0.55,3,137,48,1,0,0,"sales","low"
0.73,0.78,5,150,30,0,0,0,"sales","low"
0.2,0.49,5,199,57,0,0,0,"sales","low"
0.78,0.79,3,203,22,0,0,0,"sales","low"
0.83,0.8,3,273,30,0,0,0,"sales","low"
0.87,0.56,2,214,30,1,0,0,"sales","low"
0.98,0.99,5,141,38,0,0,0,"sales","low"
1,0.81,5,243,35,0,0,0,"sales","low"
0.7,0.55,4,159,34,0,0,0,"sales","low"
0.62,0.88,5,146,31,0,0,0,"sales","low"
0.67,0.72,4,159,27,0,0,0,"sales","low"
0.86,0.96,4,196,35,0,0,0,"sales","low"
0.44,0.57,5,183,18,1,0,0,"sales","low"
0.19,0.86,4,192,44,0,0,0,"sales","low"
0.76,0.83,4,246,22,0,0,0,"sales","low"
0.89,0.93,5,191,37,0,0,0,"sales","low"
0.25,0.97,3,158,31,0,0,0,"sales","low"
0.68,1,4,167,25,0,0,0,"sales","low"
0.38,0.5,2,187,17,1,0,0,"sales","medium"
